Depth,PHIS_SS,SP_NRM,AI,Freq,Amp,Phase
5151.5,0.403,7.013,4021.5,8.81,3276.01,148.18
5173.0,0.307,-38.572,8676.31,12.49,2412.68,-130.55
5195.0,0.341,-70.659,6045.17,12.6,1839.12,-17.99
5216.5,0.339,-70.466,-2509.73,9.68,1485.16,65.01
5238.0,0.331,-10.818,-7695.55,9.64,1351.91,132.28
5259.5,0.316,-67.146,-5424.28,13.92,1384.47,-145.31
5281.0,0.268,-71.406,-1010.94,13.92,1694.73,12.76
5302.5,0.33,-2.092,410.24,8.56,2151.66,87.45
5324.0,0.364,-76.509,974.79,7.17,2521.42,145.53
5345.5,0.333,-77.31,3464.12,6.71,2676.15,-161.31
5367.0,0.336,-72.351,5149.44,6.61,2650.24,-110.29
5389.0,0.344,-32.55,2786.4,6.8,2467.86,-58.8
5410.5,0.345,-32.11,-2384.38,7.22,2227.25,-4.69
5432.0,0.334,-9.142,-5898.18,7.69,1984.07,53.3
5453.5,0.327,-68.78,-4581.51,7.76,1681.94,114.59
5475.0,0.313,-83.347,303.16,6.63,1406.97,173.71
5496.5,0.347,4.378,4150.01,3.96,1228.1,-142.54
5518.0,0.347,6.761,3942.43,3.06,1180.1,-124.76
5539.5,0.366,-21.942,1623.74,4.57,1347.11,-95.08
5561.0,0.359,-8.81,-582.66,5.07,1635.84,-53.8
5583.0,0.334,3.524,-2418.07,4.71,1872.13,-16.43
5604.5,0.33,-5.793,-2964.88,5.06,1979.22,19.34
5626.0,0.38,8.676,-2260.42,5.77,1988.79,62.15
5647.5,0.313,-11.967,-491.9,5.79,1963.94,108.86
5669.0,0.367,9.155,2406.63,5.09,1941.91,152.06
5690.5,0.366,12.355,4027.31,4.62,1879.95,-172.15
5712.0,0.383,6.395,2821.98,5.14,1738.49,-136.22
5733.5,0.374,3.392,246.26,6.08,1561.97,-92.3
5755.0,0.357,-0.501,-2362.4,6.79,1393.67,-41.81
5777.0,0.371,0.212,-4141.08,7.48,1253.85,13.14
5798.5,0.356,4.005,-3590.54,9.49,1127.29,74.34
5820.0,0.392,2.705,-381.0,13.59,1107.01,160.46
5841.5,0.376,1.692,3284.74,13.17,1326.52,-74.7
5863.0,0.388,4.209,4175.93,9.23,1694.03,4.93
5884.5,0.348,1.502,1223.52,7.88,2158.07,68.62
5906.0,0.372,4.327,-1956.23,7.26,2540.59,127.25
5927.5,0.363,4.545,-1297.76,6.55,2724.55,-178.74
5949.0,0.382,5.093,1310.35,5.65,2746.14,-131.13
5971.0,0.396,5.727,1496.53,4.89,2716.75,-91.11
5992.5,0.385,6.143,-735.18,4.74,2763.39,-55.23
6014.0,0.371,-22.17,-2776.44,5.02,2840.32,-17.54
6035.5,0.359,0.161,-3307.51,5.21,2764.75,22.71
6057.0,0.382,3.71,-1810.8,5.24,2527.43,63.27
6078.5,0.382,6.556,1290.91,5.46,2216.36,103.98
6100.0,0.359,7.804,4137.31,6.11,1929.02,148.02
6121.5,0.368,3.543,5016.88,7.26,1688.88,-161.26
6143.0,0.372,5.364,2937.16,9.53,1495.72,-99.35
6165.0,0.374,9.265,-1511.18,10.86,1449.33,-13.33
6186.5,0.38,9.73,-5141.34,8.92,1695.02,69.14
6208.0,0.372,8.861,-5359.21,6.86,2162.74,125.11
6229.5,0.36,4.37,-2300.42,6.53,2656.38,175.68
6251.0,0.384,8.875,2527.81,6.45,3200.89,-133.6
6272.5,0.364,7.004,5670.71,6.14,3790.54,-84.17
6294.0,0.349,-1.145,3723.3,5.63,4314.78,-38.33
6315.5,0.371,1.717,-1477.84,5.22,4647.27,3.14
6337.0,0.375,-1.156,-4986.04,5.16,4796.72,42.62
6358.5,0.359,-0.412,-4504.05,5.34,4953.35,83.3
6380.5,0.301,-3.125,-496.48,5.44,5208.39,125.46
6402.0,0.369,0.823,4834.69,5.42,5343.03,167.78
6423.5,0.378,-0.103,7544.52,5.37,5142.67,-150.37
6445.0,0.382,1.53,4891.4,5.31,4602.38,-108.81
6466.5,0.364,2.218,-1888.82,5.22,3956.49,-67.92
6488.0,0.38,3.039,-8056.59,5.27,3426.78,-27.79
6509.5,0.369,5.578,-9147.19,5.7,2972.98,13.86
6531.0,0.383,5.555,-4714.14,6.56,2452.13,60.68
6552.5,0.392,5.713,2516.73,8.5,1859.4,115.67
6574.5,0.38,5.043,8344.04,13.36,1336.62,-167.37
6596.0,0.358,4.356,8690.64,13.33,1072.71,-36.99
6617.5,0.349,5.554,3559.19,8.57,1150.99,39.46
6639.0,0.348,3.408,-2699.66,7.02,1442.89,96.0
6660.5,0.309,0.788,-5762.51,6.6,1678.81,148.38
6682.0,0.367,5.574,-4383.82,6.18,1792.8,-161.59
6703.5,0.373,5.557,-930.31,5.38,1873.67,-115.7
6725.0,0.341,5.867,1043.59,4.07,2068.95,-78.16
6746.5,0.345,4.417,879.62,3.06,2468.37,-52.5
6768.5,0.355,5.883,486.21,3.24,2924.42,-30.72
6790.0,0.363,8.163,476.43,3.95,3204.77,-2.27
6811.5,0.345,5.537,59.59,4.26,3216.36,30.56
6833.0,0.352,6.92,-380.81,4.27,3039.47,63.8
6854.5,0.328,5.717,104.25,4.23,2864.3,96.79
6876.0,0.344,2.415,1451.28,3.95,2827.31,129.41
6897.5,0.319,4.105,2543.9,2.89,2881.23,158.1
6919.0,0.373,4.914,1676.9,1.22,2901.25,174.3
6940.5,0.359,3.191,-1162.33,0.75,2852.04,177.05
6962.5,0.347,3.716,-3426.16,1.64,2760.86,-174.04
6984.0,0.344,3.29,-3256.14,2.34,2608.82,-157.46
7005.5,0.341,1.664,-1207.52,2.4,2364.14,-137.71
7027.0,0.253,1.361,958.82,1.54,2151.05,-120.16
7048.5,0.323,6.179,1743.2,0.85,2337.25,-113.83
7070.0,0.322,-8.93,1615.39,1.93,3234.79,-107.03
7091.5,0.328,5.87,1946.87,3.52,4663.82,-83.86
7113.0,0.332,8.576,1750.28,4.1,6140.07,-52.35
7134.5,0.348,8.433,-698.44,3.97,7252.29,-20.18
7156.5,0.339,8.612,-3626.02,3.71,7773.38,9.28
7178.0,0.336,5.139,-3970.31,3.81,7768.68,37.36
7199.5,0.354,3.869,-1969.5,4.26,7755.81,68.44
7221.0,0.342,-62.514,932.44,4.6,8214.54,103.4
7242.5,0.347,5.587,4757.39,4.65,8911.0,139.84
7264.0,0.362,7.506,7720.15,4.47,9238.71,175.5
7285.5,0.367,6.388,6204.33,4.29,8814.41,-150.73
7307.0,0.373,6.113,-149.91,4.31,7799.72,-117.96
7328.5,0.333,-17.493,-7177.36,4.5,6807.96,-83.91
7350.5,0.353,4.744,-10868.51,4.63,6280.11,-48.05
7372.0,0.318,-3.38,-9640.56,4.53,6084.14,-12.08
7393.5,0.329,-53.961,-3499.08,4.48,5837.44,22.3
7415.0,0.308,-9.813,4772.36,4.94,5485.98,57.38
7436.5,0.331,3.517,10175.95,5.85,5379.29,98.96
7458.0,0.335,-33.574,10718.77,6.55,5662.84,148.15
7479.5,0.327,3.369,8281.01,6.64,6268.89,-159.39
7501.0,0.354,5.228,3613.76,6.26,7212.23,-108.75
7522.5,0.33,4.916,-3910.54,5.76,8310.4,-62.25
7544.5,0.344,3.259,-11969.44,5.36,9109.9,-19.34
7566.0,0.347,-37.66,-15700.83,4.98,9278.33,20.91
7587.5,0.352,5.556,-11248.75,4.48,8965.36,58.0
7609.0,0.327,-1.569,656.97,3.87,8917.17,90.51
7630.5,0.308,-9.235,12873.43,3.46,9777.85,118.02
7652.0,0.336,-0.169,17098.95,3.58,11084.36,144.14
7673.5,0.295,-2.972,12203.29,4.04,11827.89,173.64
7695.0,0.328,-71.59,3649.95,4.38,11513.57,-153.08
7716.5,0.303,-52.024,-4635.63,4.42,10304.53,-118.34
7738.5,0.316,-49.884,-11927.73,4.22,8846.33,-84.52
7760.0,0.302,4.73,-15776.42,3.99,7850.6,-52.77
7781.5,0.325,-18.988,-12662.43,3.85,7342.52,-22.62
7803.0,0.218,7.707,-3094.2,3.87,6749.15,6.97
7824.5,0.316,10.896,7964.94,4.13,5762.95,37.44
7846.0,0.293,-28.899,14828.08,4.99,4511.6,71.1
7867.5,0.286,10.559,14582.46,7.27,3371.45,114.85
7889.0,0.29,11.251,8415.13,9.59,2845.16,-176.03
7910.5,0.284,10.551,154.83,8.87,3073.67,-96.36
7932.5,0.267,-0.782,-7776.93,6.5,3546.47,-38.44
7954.0,0.343,9.895,-13188.61,4.97,3838.0,4.52
7975.5,0.345,9.554,-12607.22,4.22,3819.09,38.76
7997.0,0.347,8.06,-5887.56,4.09,3610.13,70.08
8018.5,0.342,5.392,2957.15,4.03,3512.64,102.2
8040.0,0.354,4.377,9848.6,3.44,3669.85,132.61
8061.5,0.343,6.39,11586.47,2.51,3924.06,155.59
8083.0,0.381,3.318,7077.14,2.35,4030.68,171.55
8104.5,0.303,7.196,-240.64,3.21,3837.88,-167.86
8126.5,0.319,-3.222,-5370.62,4.08,3362.36,-138.61
8148.0,0.349,8.435,-6730.72,4.49,2692.54,-104.55
8169.5,0.363,7.88,-5852.9,4.47,1980.93,-68.95
8234.0,0.347,6.547,4124.13,4.6,1818.79,-127.17
3535.0,0.442,-9.662,-11174.62,5.75,8637.5,36.52
3556.5,0.361,-14.442,-4347.41,6.31,8741.92,82.14
3578.0,0.276,-53.439,5740.99,7.13,8654.66,134.45
3599.5,0.294,-44.427,16997.87,7.55,8310.62,-167.17
3621.5,0.297,-10.688,20451.78,7.24,7612.28,-108.39
3643.0,0.333,-9.982,6607.26,6.62,6568.79,-54.83
3664.5,0.383,-11.197,-12669.48,6.52,5554.04,-5.66
3686.0,0.351,-11.062,-21487.34,6.9,4835.83,46.38
3707.5,0.371,-6.243,-15884.63,7.15,4274.1,101.42
3729.0,0.279,-10.888,-1145.52,7.49,3994.99,157.41
3750.5,0.286,-4.586,12389.23,8.05,3895.36,-142.28
3772.0,0.292,-3.141,16817.74,8.24,3823.22,-77.61
3793.5,0.219,-8.146,8926.52,7.73,3641.42,-14.35
3815.0,0.339,-5.219,-3906.81,6.9,3392.19,42.28
3837.0,0.368,-13.346,-10177.74,6.14,3094.69,92.73
3858.5,0.231,-45.837,-7108.76,4.26,2887.0,137.52
3880.0,0.267,-6.735,-213.29,1.99,2976.41,158.89
3901.5,0.293,-54.495,2975.62,2.89,3160.36,168.44
3923.0,0.293,-56.494,3188.6,4.47,3456.34,-156.21
3944.5,0.252,-53.242,2756.82,4.12,3994.03,-122.14
3966.0,0.328,-50.088,894.88,4.45,4880.45,-92.27
3987.5,0.337,-4.502,-596.76,5.35,5875.9,-53.03
4009.0,0.353,-3.108,-3025.99,5.51,6581.73,-9.21
4031.0,0.308,-37.445,-5650.96,5.36,6845.87,32.49
4052.5,0.325,-9.791,-4523.4,5.56,6879.74,73.99
4074.0,0.246,-40.383,598.39,5.84,6909.19,118.76
4095.5,0.294,-46.745,7802.51,5.89,6874.82,164.67
4117.0,0.37,-5.563,11411.91,6.1,6586.05,-149.87
4138.5,0.29,-6.392,7325.0,6.85,5983.74,-100.58
4160.0,0.385,-13.279,-2749.92,7.88,5175.87,-43.51
4181.5,0.316,-15.917,-13629.47,8.97,4472.22,21.7
4203.0,0.362,-4.78,-15540.97,9.86,3873.03,95.63
4225.0,0.267,-57.207,-4879.38,9.81,3345.94,174.67
4246.5,0.296,-6.974,9001.56,8.73,3067.39,-112.13
4268.0,0.234,-8.194,13682.88,7.31,2886.21,-49.81
4289.5,0.334,-10.086,7262.11,6.05,2638.61,1.31
4311.0,0.264,-10.655,-1407.77,5.26,2333.58,44.11
4332.5,0.243,-5.288,-5551.97,3.39,1854.33,82.97
4354.0,0.227,-6.164,-4307.26,0.06,1465.71,96.66
4375.5,0.289,-5.551,-1536.36,1.34,1452.43,83.98
4397.0,0.344,-4.179,-473.68,4.5,1731.1,117.53
4419.0,0.22,-9.121,578.84,4.07,2041.51,153.89
4440.5,0.216,-42.2,1671.85,3.6,2187.48,-179.27
4462.0,0.302,-9.449,1668.67,4.05,2103.26,-150.21
4483.5,0.325,-5.127,1018.31,4.4,1854.95,-116.44
4505.0,0.341,-44.31,-236.84,4.86,1550.65,-81.87
4526.5,0.206,-12.412,-1605.56,5.65,1398.94,-41.09
4591.0,0.206,-39.878,2224.84,6.08,2871.71,-65.49
4613.0,0.315,-2.653,3391.11,5.33,3505.22,-20.98
4634.5,0.207,-34.926,893.2,5.03,3921.42,17.19
4656.0,0.282,-14.61,-2177.1,5.43,4232.69,57.05
4677.5,0.296,-18.947,-3397.64,5.75,4531.63,101.39
4699.0,0.33,-3.198,-561.12,5.66,4727.4,146.22
4720.5,0.299,-12.241,4091.97,5.44,4653.09,-170.8
4742.0,0.208,-11.075,5370.2,5.17,4222.9,-129.3
4763.5,0.313,-6.979,1521.5,4.79,3557.95,-90.56
4785.0,0.318,-8.567,-4065.14,4.85,2975.34,-55.01
4807.0,0.301,-6.485,-6654.95,5.63,2579.58,-15.34
4828.5,0.296,-16.145,-5331.51,6.46,2260.49,32.36
4850.0,0.32,-3.991,-1031.66,7.01,1940.09,84.91
4871.5,0.277,-14.439,4252.67,7.56,1649.63,141.12
4893.0,0.292,-23.247,7066.98,7.86,1526.13,-157.81
4914.5,0.342,-7.537,5865.34,7.58,1646.05,-96.85
4936.0,0.318,-7.607,1580.32,7.15,1862.52,-40.24
4957.5,0.304,-11.299,-3555.38,7.05,2060.3,14.09
4979.0,0.323,-6.219,-6803.62,7.16,2224.32,69.15
5001.0,0.345,-5.048,-5648.52,7.13,2288.88,125.16
5022.5,0.326,-5.305,-157.72,6.74,2228.44,179.79
5044.0,0.317,-5.484,4831.59,6.03,2062.27,-130.16
5065.5,0.321,-3.067,5008.68,5.21,1824.9,-86.66
5087.0,0.306,-5.595,1535.79,4.38,1667.53,-49.33
5108.5,0.327,-7.507,-1928.23,3.66,1715.56,-18.61
5130.0,0.317,-9.829,-3041.57,3.92,1836.74,7.45
5151.5,0.295,-19.499,-2112.74,5.34,2024.99,42.18
5173.0,0.326,-4.026,-993.23,6.73,2271.78,90.27
5195.0,0.256,-26.187,564.27,7.54,2429.47,146.61
5216.5,0.305,-6.261,3536.44,8.01,2470.63,-152.64
5238.0,0.301,-10.298,4680.25,8.33,2393.07,-89.06
